序号,名称,点位汇总,实景图汇总,点位数,已关联数
1,f2_n_to_4201.png,"f2_n_to_4201.png/热点 1(x=0.5426, y=0.4590)；f2_n_to_4201.png/热点 2(x=0.5440, y=0.7254)；f2_n_to_4201.png/热点 3(x=0.4550, y=0.7283)；f2_n_to_4201.png/热点 4(x=0.2901, y=0.7264)",f2_22.jpg；f2_7.jpg；f2_5.jpg；f2_3.jpg,4,4
2,f2_n_to_4202.png,"f2_n_to_4202.png/热点 1(x=0.5427, y=0.4746)；f2_n_to_4202.png/热点 2(x=0.5427, y=0.7246)；f2_n_to_4202.png/热点 3(x=0.4551, y=0.7265)",f2_22.jpg；f2_7.jpg；f2_5.jpg,3,3
3,f2_n_to_4203.png,"f2_n_to_4203.png/热点 1(x=0.5428, y=0.4631)；f2_n_to_4203.png/热点 2(x=0.5428, y=0.7247)；f2_n_to_4203.png/热点 3(x=0.4456, y=0.7267)；f2_n_to_4203.png/热点 4(x=0.2909, y=0.7267)",f2_22.jpg；f2_7.jpg；f2_5.jpg；f2_3.jpg,4,4
4,f2_n_to_4204.png,"f2_n_to_4204.png/热点 1(x=0.5422, y=0.4554)；f2_n_to_4204.png/热点 2(x=0.5436, y=0.7239)；f2_n_to_4204.png/热点 3(x=0.4512, y=0.7258)",f2_22.jpg；f2_7.jpg；f2_5.jpg,3,3
5,f2_n_to_4205.png,"f2_n_to_4205.png/热点 1(x=0.5430, y=0.4623)；f2_n_to_4205.png/热点 2(x=0.5437, y=0.6378)；f2_n_to_4205.png/热点 3(x=0.5787, y=0.6417)",f2_22.jpg；f2_6.jpg；f2_8.jpg,3,3
6,f2_n_to_4206.png,"f2_n_to_4206.png/热点 1(x=0.5431, y=0.4634)；f2_n_to_4206.png/热点 2(x=0.5431, y=0.6388)；f2_n_to_4206.png/热点 3(x=0.5767, y=0.6408)",f2_22.jpg；f2_6.jpg；f2_8.jpg,3,3
7,f2_n_to_4207.png,"f2_n_to_4207.png/热点 1(x=0.5425, y=0.4586)；f2_n_to_4207.png/热点 2(x=0.5425, y=0.6389)；f2_n_to_4207.png/热点 3(x=0.5775, y=0.6409)；f2_n_to_4207.png/热点 4(x=0.7213, y=0.6399)",f2_22.jpg；f2_6.jpg；f2_8.jpg；f2_10.jpg,4,4
8,f2_n_to_4208.png,"f2_n_to_4208.png/热点 1(x=0.5433, y=0.4684)；f2_n_to_4208.png/热点 2(x=0.5426, y=0.6400)；f2_n_to_4208.png/热点 3(x=0.5742, y=0.6410)",f2_22.jpg；f2_6.jpg；f2_8.jpg,3,3
9,f2_n_to_4209.png,"f2_n_to_4209.png/热点 1(x=0.5420, y=0.4733)；f2_n_to_4209.png/热点 2(x=0.5420, y=0.6401)；f2_n_to_4209.png/热点 3(x=0.5722, y=0.6401)",f2_22.jpg；f2_6.jpg；f2_8.jpg,3,3
10,f2_n_to_4210.png,"f2_n_to_4210.png/热点 1(x=0.5421, y=0.4860)；f2_n_to_4210.png/热点 2(x=0.5428, y=0.6403)；f2_n_to_4210.png/热点 3(x=0.5744, y=0.6423)；f2_n_to_4210.png/热点 4(x=0.7204, y=0.6403)",f2_22.jpg；f2_6.jpg；f2_8.jpg；f2_10.jpg,4,4
