序号,名称,点位汇总,实景图汇总,点位数,已关联数
1,f3_n_to_4301.png,"f3_n_to_4301.png/热点 1(x=0.5406, y=0.4729)；f3_n_to_4301.png/热点 2(x=0.5400, y=0.6606)；f3_n_to_4301.png/热点 3(x=0.4476, y=0.7283)；f3_n_to_4301.png/热点 4(x=0.2895, y=0.7264)",f3_23.jpg；f3_7.jpg；f3_5.jpg；f3_3.jpg,4,4
2,f3_n_to_4302.png,"f3_n_to_4302.png/热点 1(x=0.5414, y=0.4827)；f3_n_to_4302.png/热点 2(x=0.5401, y=0.6598)；f3_n_to_4302.png/热点 3(x=0.4484, y=0.7236)",f3_23.jpg；f3_7.jpg；f3_5.jpg,3,3
3,f3_n_to_4303.png,"f3_n_to_4303.png/热点 1(x=0.5429, y=0.4809)；f3_n_to_4303.png/热点 2(x=0.5415, y=0.6628)；f3_n_to_4303.png/热点 3(x=0.4471, y=0.7276)；f3_n_to_4303.png/热点 4(x=0.2924, y=0.7247)",f3_23.jpg；f3_7.jpg；f3_5.jpg；f3_3.jpg,4,4
4,f3_n_to_4304.png,"f3_n_to_4304.png/热点 1(x=0.5403, y=0.4809)；f3_n_to_4304.png/热点 2(x=0.5403, y=0.6590)；f3_n_to_4304.png/热点 3(x=0.4431, y=0.7258)",f3_23.jpg；f3_7.jpg；f3_5.jpg,3,3
5,f3_n_to_4305_1.png,"f3_n_to_4305_1.png/热点 1(x=0.5403, y=0.4713)；f3_n_to_4305_1.png/热点 2(x=0.5404, y=0.6407)；f3_n_to_4305_1.png/热点 3(x=0.5698, y=0.6408)",f3_23.jpg；f3_6.jpg；f3_8.jpg,3,3
6,f3_n_to_4305_2.png,"f3_n_to_4305_2.png/热点 1(x=0.5397, y=0.4772)；f3_n_to_4305_2.png/热点 2(x=0.5418, y=0.6418)；f3_n_to_4305_2.png/热点 3(x=0.5665, y=0.6428)",f3_23.jpg；f3_6.jpg；f3_8.jpg,3,3
7,f3_n_to_4306.png,"f3_n_to_4306.png/热点 1(x=0.5405, y=0.4657)；f3_n_to_4306.png/热点 2(x=0.5412, y=0.6400)；f3_n_to_4306.png/热点 3(x=0.5789, y=0.6439)",f3_23.jpg；f3_6.jpg；f3_8.jpg,3,3
8,f3_n_to_4307_1.png,"f3_n_to_4307_1.png/热点 1(x=0.5399, y=0.4745)；f3_n_to_4307_1.png/热点 2(x=0.5413, y=0.6401)；f3_n_to_4307_1.png/热点 3(x=0.5708, y=0.6420)；f3_n_to_4307_1.png/热点 4(x=0.7188, y=0.6430)",f3_23.jpg；f3_6.jpg；f3_8.jpg；f3_10.jpg,4,4
9,f3_n_to_4307_2.png,"f3_n_to_4307_2.png/热点 1(x=0.5400, y=0.4707)；f3_n_to_4307_2.png/热点 2(x=0.5400, y=0.6421)；f3_n_to_4307_2.png/热点 3(x=0.5736, y=0.6431)；f3_n_to_4307_2.png/热点 4(x=0.7162, y=0.6422)",f3_23.jpg；f3_6.jpg；f3_8.jpg；f3_10.jpg,4,4
10,f3_n_to_4308_1.png,"f3_n_to_4308_1.png/热点 1(x=0.5408, y=0.4785)；f3_n_to_4308_1.png/热点 2(x=0.5415, y=0.6432)；f3_n_to_4308_1.png/热点 3(x=0.5772, y=0.6394)",f3_23.jpg；f3_6.jpg；f3_8.jpg,3,3
11,f3_n_to_4308_2.png,"f3_n_to_4308_2.png/热点 1(x=0.5409, y=0.4757)；f3_n_to_4308_2.png/热点 2(x=0.5409, y=0.6404)；f3_n_to_4308_2.png/热点 3(x=0.5738, y=0.6424)",f3_23.jpg；f3_6.jpg；f3_8.jpg,3,3
12,f3_n_to_4309_1.png,"f3_n_to_4309_1.png/热点 1(x=0.5410, y=0.4709)；f3_n_to_4309_1.png/热点 2(x=0.5410, y=0.6415)；f3_n_to_4309_1.png/热点 3(x=0.5753, y=0.6434)",f3_23.jpg；f3_6.jpg；f3_8.jpg,3,3
13,f3_n_to_4309_2.png,"f3_n_to_4309_2.png/热点 1(x=0.5417, y=0.4642)；f3_n_to_4309_2.png/热点 2(x=0.5404, y=0.6396)；f3_n_to_4309_2.png/热点 3(x=0.5761, y=0.6416)；f3_n_to_4309_2.png/热点 4(x=0.7105, y=0.6416)",f3_23.jpg；f3_6.jpg；f3_8.jpg；f3_10.jpg,4,4
