序号,名称,点位汇总,实景图汇总,点位数,已关联数
1,f5_n_to_4503_0.png,"f5_n_to_4503_0.png/热点 1(x=0.5175, y=0.4655)；f5_n_to_4503_0.png/热点 2(x=0.5467, y=0.6443)",f5_1.jpg；f5_5.jpg,2,2
2,f5_n_to_4503_1.png,"f5_n_to_4503_1.png/热点 1(x=0.5169, y=0.4774)；f5_n_to_4503_1.png/热点 2(x=0.5516, y=0.6434)",f5_1.jpg；f5_5.jpg,2,2
3,f5_n_to_4503_2.png,"f5_n_to_4503_2.png/热点 1(x=0.5183, y=0.4617)；f5_n_to_4503_2.png/热点 2(x=0.5517, y=0.6435)",f5_1.jpg；f5_5.jpg,2,2
4,f5_n_to_4504_1.png,"f5_n_to_4504_1.png/热点 1(x=0.5184, y=0.4755)；f5_n_to_4504_1.png/热点 2(x=0.5517, y=0.6435)",f5_1.jpg；f5_5.jpg,2,2
5,f5_n_to_4504_2.png,"f5_n_to_4504_2.png/热点 1(x=0.5177, y=0.4736)；f5_n_to_4504_2.png/热点 2(x=0.5504, y=0.6436)；f5_n_to_4504_2.png/热点 3(x=0.6797, y=0.6436)",f5_1.jpg；f5_5.jpg；f5_7.jpg,3,3
6,f5_n_to_4505_1.png,"f5_n_to_4505_1.png/热点 1(x=0.5178, y=0.4698)；f5_n_to_4505_1.png/热点 2(x=0.5526, y=0.6427)；f5_n_to_4505_1.png/热点 3(x=0.6874, y=0.6428)",f5_1.jpg；f5_5.jpg；f5_7.jpg,3,3
7,f5_n_to_4505_2.png,"f5_n_to_4505_2.png/热点 1(x=0.5179, y=0.4895)；f5_n_to_4505_2.png/热点 2(x=0.5540, y=0.6428)；f5_n_to_4505_2.png/热点 3(x=0.6827, y=0.6429)",f5_1.jpg；f5_5.jpg；f5_7.jpg,3,3
8,f5_n_to_4506_1.png,"f5_n_to_4506_1.png/热点 1(x=0.5173, y=0.4709)；f5_n_to_4506_1.png/热点 2(x=0.5527, y=0.6419)",f5_1.jpg；f5_5.jpg,2,2
9,f5_n_to_4506_2.png,"f5_n_to_4506_2.png/热点 1(x=0.5180, y=0.4749)；f5_n_to_4506_2.png/热点 2(x=0.5577, y=0.6440)",f5_1.jpg；f5_5.jpg,2,2
10,f5_n_to_4507_1.png,"f5_n_to_4507_1.png/热点 1(x=0.5174, y=0.4887)；f5_n_to_4507_1.png/热点 2(x=0.5515, y=0.6431)",f5_1.jpg；f5_5.jpg,2,2
11,f5_n_to_4507_2.png,"f5_n_to_4507_2.png/热点 1(x=0.5181, y=0.4828)；f5_n_to_4507_2.png/热点 2(x=0.5515, y=0.6422)；f5_n_to_4507_2.png/热点 3(x=0.6893, y=0.6432)",f5_1.jpg；f5_5.jpg；f5_7.jpg,3,3
12,f5_n_to_4508_1.png,"f5_n_to_4508_1.png/热点 1(x=0.5182, y=0.4741)；f5_n_to_4508_1.png/热点 2(x=0.5565, y=0.6423)；f5_n_to_4508_1.png/热点 3(x=0.6984, y=0.6433)",f5_1.jpg；f5_5.jpg；f5_7.jpg,3,3
13,f5_n_to_4508_2.png,"f5_n_to_4508_2.png/热点 1(x=0.5183, y=0.4840)；f5_n_to_4508_2.png/热点 2(x=0.5566, y=0.6433)；f5_n_to_4508_2.png/热点 3(x=0.6957, y=0.6434)",f5_1.jpg；f5_5.jpg；f5_7.jpg,3,3
14,f5_n_to_4509.png,"f5_n_to_4509.png/热点 1(x=0.5184, y=0.4644)；f5_n_to_4509.png/热点 2(x=0.5567, y=0.6434)；f5_n_to_4509.png/热点 3(x=0.6903, y=0.6435)；f5_n_to_4509.png/热点 4(x=0.8434, y=0.6435)",f5_1.jpg；f5_5.jpg；f5_7.jpg；f5_9.jpg,4,4
15,f5_n_to_4510.png,"f5_n_to_4510.png/热点 1(x=0.5178, y=0.4713)；f5_n_to_4510.png/热点 2(x=0.5450, y=0.6426)；f5_n_to_4510.png/热点 3(x=0.6918, y=0.6446)；f5_n_to_4510.png/热点 4(x=0.8429, y=0.6426)",f5_1.jpg；f5_5.jpg；f5_7.jpg；f5_9.jpg,4,4
16,f5_n_to_4511.png,"f5_n_to_4511.png/热点 1(x=0.5172, y=0.4774)；f5_n_to_4511.png/热点 2(x=0.5555, y=0.6398)；f5_n_to_4511.png/热点 3(x=0.6927, y=0.6428)；f5_n_to_4511.png/热点 4(x=0.8424, y=0.6418)；f5_n_to_4511.png/热点 5(x=0.8431, y=0.4577)",f5_1.jpg；f5_5.jpg；f5_7.jpg；f5_9.jpg；f5_11.jpg,5,5
17,f5_n_to_f5_s_e.png,"f5_n_to_f5_s_e.png/热点 1(x=0.5159, y=0.4844)；f5_n_to_f5_s_e.png/热点 2(x=0.5459, y=0.6429)",f5_1.jpg；f5_5.jpg,2,2
18,f5_n_to_f5_se.png,"f5_n_to_f5_se.png/热点 1(x=0.5174, y=0.4854)；f5_n_to_f5_se.png/热点 2(x=0.5557, y=0.6439)；f5_n_to_f5_se.png/热点 3(x=0.6922, y=0.6440)；f5_n_to_f5_se.png/热点 4(x=0.8434, y=0.6420)",f5_1.jpg；f5_5.jpg；f5_7.jpg；f5_10.jpg,4,4
19,f5_s_e_to_4503_0.png,,,0,0
