序号,图名,点位汇总,实景图汇总,点位数,已关联数
43,f1_south_to_4114.png,"热点 1(x=0.4959, y=0.7428)；热点 2(x=0.4966, y=0.6410)；热点 3(x=0.5193, y=0.5421)",f1_1.jpg；f1_2.jpg；f1_14.jpg,3,3
44,f1_south_to_4115.png,"热点 1(x=0.4960, y=0.7438)；热点 2(x=0.4960, y=0.6411)；热点 3(x=0.5194, y=0.5402)",f1_1.jpg；f1_2.jpg；f1_14.jpg,3,3
45,f1_south_to_4116.png,"热点 1(x=0.4961, y=0.7430)；热点 2(x=0.4954, y=0.6412)；热点 3(x=0.5187, y=0.5413)；热点 4(x=0.3129, y=0.2600)",f1_1.jpg；f1_2.jpg；f1_14.jpg；f1_10.jpg,4,4
46,f1_south_to_center_stair.png,"热点 1(x=0.4955, y=0.7460)；热点 2(x=0.4962, y=0.6393)；热点 3(x=0.5182, y=0.5414)",f1_1.jpg；f1_2.jpg；f1_14.jpg,3,3
47,f1_south_to_f1_east.png,"热点 1(x=0.4956, y=0.7452)；热点 2(x=0.4956, y=0.6404)；热点 3(x=0.5423, y=0.6404)；热点 4(x=0.6892, y=0.6395)；热点 5(x=0.8430, y=0.6395)；热点 6(x=0.8437, y=0.4532)",f1_1.jpg；f1_2.jpg；f1_3.jpg；f1_4.jpg；f1_5.jpg；f1_18.jpg,6,6
48,f1_south_to_left_stair_4101.png,"热点 1(x=0.4957, y=0.7454)；热点 2(x=0.4236, y=0.7241)；热点 3(x=0.2685, y=0.7260)",f1_1.jpg；f1_13.jpg；f1_12.jpg,3,3
49,f1_south_to_left_stair_4108.png,"热点 1(x=0.4958, y=0.7436)；热点 2(x=0.4965, y=0.6407)；热点 3(x=0.5425, y=0.6397)",f1_1.jpg；f1_2.jpg；f1_3.jpg,3,3
50,f1_south_to_left_stair_4116.png,"热点 1(x=0.4959, y=0.7456)；热点 2(x=0.4966, y=0.6398)；热点 3(x=0.5179, y=0.5398)；热点 4(x=0.3146, y=0.2592)",f1_1.jpg；f1_2.jpg；f1_14.jpg；f1_10.jpg,4,4
51,f1_south_to_right_stair_4102.png,"热点 1(x=0.4960, y=0.7448)；热点 2(x=0.4362, y=0.7244)",f1_1.jpg；f1_13.jpg,2,2
52,f1_south_to_right_stair_4110.png,"热点 1(x=0.4967, y=0.7429)；热点 2(x=0.4960, y=0.6400)；热点 3(x=0.5421, y=0.6410)；热点 4(x=0.6960, y=0.6400)",f1_1.jpg；f1_2.jpg；f1_3.jpg；f1_4.jpg,4,4
53,f1_south_to_right_stair_4111.png,"热点 1(x=0.4954, y=0.7441)；热点 2(x=0.4968, y=0.6392)；热点 3(x=0.5188, y=0.5421)；热点 4(x=0.6680, y=0.2613)",f1_1.jpg；f1_2.jpg；f1_14.jpg；f1_17.jpg,4,4
54,f1_south_to_weak_room.png,"热点 1(x=0.4962, y=0.7413)；热点 2(x=0.4962, y=0.6393)；热点 3(x=0.5183, y=0.5412)；热点 4(x=0.6743, y=0.2604)",f1_1.jpg；f1_2.jpg；f1_14.jpg；f1_17.jpg,4,4
