序号,名称,点位汇总,实景图汇总,点位数,已关联数
156,f4_se_to_4417.png,"f4_se_to_4417.png/热点 1(x=0.8644, y=0.6429)；f4_se_to_4417.png/热点 2(x=0.7090, y=0.6448)；f4_se_to_4417.png/热点 3(x=0.5756, y=0.6429)；f4_se_to_4417.png/热点 4(x=0.5410, y=0.4954)；f4_se_to_4417.png/热点 5(x=0.5404, y=0.3498)；f4_se_to_4417.png/热点 6(x=0.5680, y=0.2658)；f4_se_to_4417.png/热点 7(x=0.3800, y=0.2648)",f4_23.jpg；f4_22.jpg；f4_20.jpg；f4_16.jpg；f4_11.jpg；f4_5.jpg；f4_3.jpg,7,7
157,f4_se_to_f4_n.png,"f4_se_to_f4_n.png/热点 1(x=0.8637, y=0.6429)；f4_se_to_f4_n.png/热点 2(x=0.7152, y=0.6439)；f4_se_to_f4_n.png/热点 3(x=0.5735, y=0.6429)；f4_se_to_f4_n.png/热点 4(x=0.5410, y=0.4748)；f4_se_to_f4_n.png/热点 5(x=0.5404, y=0.3508)",f4_23.jpg；f4_22.jpg；f4_20.jpg；f4_16.jpg；f4_11.jpg,5,5
158,f4_se_to_f4_ne.png,"f4_se_to_f4_ne.png/热点 1(x=0.8651, y=0.6448)；f4_se_to_f4_ne.png/热点 2(x=0.7207, y=0.6448)；f4_se_to_f4_ne.png/热点 3(x=0.5756, y=0.6429)；f4_se_to_f4_ne.png/热点 4(x=0.5404, y=0.4846)；f4_se_to_f4_ne.png/热点 5(x=0.5404, y=0.3508)；f4_se_to_f4_ne.png/热点 6(x=0.5701, y=0.2658)；f4_se_to_f4_ne.png/热点 7(x=0.6910, y=0.2648)；f4_se_to_f4_ne.png/热点 8(x=0.8465, y=0.2658)",f4_23.jpg；f4_22.jpg；f4_20.jpg；f4_16.jpg；f4_11.jpg；f4_4.jpg；f4_7.jpg；f4_9.jpg,8,8
159,f4_se_to_f4_nw.png,"f4_se_to_f4_nw.png/热点 1(x=0.8637, y=0.6439)；f4_se_to_f4_nw.png/热点 2(x=0.7242, y=0.6429)；f4_se_to_f4_nw.png/热点 3(x=0.5680, y=0.6439)；f4_se_to_f4_nw.png/热点 4(x=0.5404, y=0.4709)；f4_se_to_f4_nw.png/热点 5(x=0.5417, y=0.3517)；f4_se_to_f4_nw.png/热点 6(x=0.5666, y=0.2638)；f4_se_to_f4_nw.png/热点 7(x=0.3904, y=0.2667)",f4_23.jpg；f4_22.jpg；f4_20.jpg；f4_16.jpg；f4_11.jpg；f4_5.jpg；f4_3.jpg,7,7
160,f4_se_to_f4_s_e.png,"f4_se_to_f4_s_e.png/热点 1(x=0.8651, y=0.6419)；f4_se_to_f4_s_e.png/热点 2(x=0.7235, y=0.6458)",f4_23.jpg；f4_22.jpg,2,2
161,f4_se_to_f4_s_w.png,"f4_se_to_f4_s_w.png/热点 1(x=0.8651, y=0.6419)；f4_se_to_f4_s_w.png/热点 2(x=0.7159, y=0.6429)；f4_se_to_f4_s_w.png/热点 3(x=0.5784, y=0.6448)；f4_se_to_f4_s_w.png/热点 4(x=0.5417, y=0.6429)",f4_23.jpg；f4_22.jpg；f4_20.jpg；f4_18.jpg,4,4
162,f4_se_to_f4_sw.png,"f4_se_to_f4_sw.png/热点 1(x=0.8637, y=0.6448)；f4_se_to_f4_sw.png/热点 2(x=0.7117, y=0.6419)；f4_se_to_f4_sw.png/热点 3(x=0.5763, y=0.6439)；f4_se_to_f4_sw.png/热点 4(x=0.5417, y=0.6429)；f4_se_to_f4_sw.png/热点 5(x=0.4858, y=0.6839)；f4_se_to_f4_sw.png/热点 6(x=0.2868, y=0.7328)",f4_23.jpg；f4_22.jpg；f4_20.jpg；f4_18.jpg；f4_27.jpg；f4_29.jpg,6,6
163,f4_sw_to_4401.png,"f4_sw_to_4401.png/热点 1(x=0.1603, y=0.7298)",f4_31.jpg,1,1
164,f4_sw_to_4402.png,"f4_sw_to_4402.png/热点 1(x=0.1596, y=0.7308)；f4_sw_to_4402.png/热点 2(x=0.2930, y=0.7318)",f4_31.jpg；f4_30.jpg,2,2
165,f4_sw_to_4403.png,"f4_sw_to_4403.png/热点 1(x=0.1603, y=0.7318)；f4_sw_to_4403.png/热点 2(x=0.2916, y=0.7337)；f4_sw_to_4403.png/热点 3(x=0.4215, y=0.7308)；f4_sw_to_4403.png/热点 4(x=0.5383, y=0.6888)；f4_sw_to_4403.png/热点 5(x=0.5818, y=0.6468)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg,5,5
166,f4_sw_to_4403_0.png,"f4_sw_to_4403_0.png/热点 1(x=0.1596, y=0.7318)；f4_sw_to_4403_0.png/热点 2(x=0.2944, y=0.7328)；f4_sw_to_4403_0.png/热点 3(x=0.4181, y=0.7318)；f4_sw_to_4403_0.png/热点 4(x=0.5390, y=0.6820)；f4_sw_to_4403_0.png/热点 5(x=0.5721, y=0.6487)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg,5,5
167,f4_sw_to_4404.png,"f4_sw_to_4404.png/热点 1(x=0.1603, y=0.7298)；f4_sw_to_4404.png/热点 2(x=0.2930, y=0.7318)；f4_sw_to_4404.png/热点 3(x=0.4201, y=0.7318)；f4_sw_to_4404.png/热点 4(x=0.5390, y=0.6849)；f4_sw_to_4404.png/热点 5(x=0.5791, y=0.6487)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg,5,5
168,f4_sw_to_4405_1.png,"f4_sw_to_4405_1.png/热点 1(x=0.1603, y=0.7308)；f4_sw_to_4405_1.png/热点 2(x=0.2916, y=0.7318)；f4_sw_to_4405_1.png/热点 3(x=0.4194, y=0.7318)；f4_sw_to_4405_1.png/热点 4(x=0.5404, y=0.6868)；f4_sw_to_4405_1.png/热点 5(x=0.5763, y=0.6487)；f4_sw_to_4405_1.png/热点 6(x=0.7186, y=0.6487)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg,6,6
169,f4_sw_to_4405_2.png,"f4_sw_to_4405_2.png/热点 1(x=0.1603, y=0.7298)；f4_sw_to_4405_2.png/热点 2(x=0.2923, y=0.7308)；f4_sw_to_4405_2.png/热点 3(x=0.4194, y=0.7308)；f4_sw_to_4405_2.png/热点 4(x=0.5417, y=0.6849)；f4_sw_to_4405_2.png/热点 5(x=0.5811, y=0.6507)；f4_sw_to_4405_2.png/热点 6(x=0.7186, y=0.6468)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg,6,6
170,f4_sw_to_4406.png,"f4_sw_to_4406.png/热点 1(x=0.1596, y=0.7308)；f4_sw_to_4406.png/热点 2(x=0.2916, y=0.7308)；f4_sw_to_4406.png/热点 3(x=0.4208, y=0.7308)；f4_sw_to_4406.png/热点 4(x=0.5390, y=0.6839)；f4_sw_to_4406.png/热点 5(x=0.5791, y=0.6468)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg,5,5
