序号,名称,点位汇总,实景图汇总,点位数,已关联数
1,f6_n_to_4501.png,"f6_n_to_4501.png/热点 1(x=0.4943, y=0.4735)；f6_n_to_4501.png/热点 2(x=0.4943, y=0.7315)；f6_n_to_4501.png/热点 3(x=0.4048, y=0.7326)；f6_n_to_4501.png/热点 4(x=0.2482, y=0.7306)",f6_17.jpg；f6_7.jpg；f6_5.jpg；f6_3.jpg,4,4
2,f6_n_to_4502.png,"f6_n_to_4502.png/热点 1(x=0.4944, y=0.4795)；f6_n_to_4502.png/热点 2(x=0.4958, y=0.7287)；f6_n_to_4502.png/热点 3(x=0.3888, y=0.7307)",f6_17.jpg；f6_7.jpg；f6_5.jpg,3,3
3,f6_n_to_4512.png,"f6_n_to_4512.png/热点 1(x=0.4959, y=0.2621)；f6_n_to_4512.png/热点 2(x=0.6491, y=0.2631)",f6_20.jpg；f6_21.jpg,2,2
4,f6_n_to_4513.png,"f6_n_to_4513.png/热点 1(x=0.4959, y=0.2621)",f6_20.jpg,1,1
5,f6_n_to_4514.png,"f6_n_to_4514.png/热点 1(x=0.4946, y=0.2621)",f6_20.jpg,1,1
6,f6_n_to_4515.png,"f6_n_to_4515.png/热点 1(x=0.4946, y=0.2641)",f6_18.jpg,1,1
7,f6_n_to_4516.png,"f6_n_to_4516.png/热点 1(x=0.4953, y=0.2611)",f6_18.jpg,1,1
8,f6_n_to_4517.png,"f6_n_to_4517.png/热点 1(x=0.4946, y=0.2631)；f6_n_to_4517.png/热点 2(x=0.3407, y=0.2641)",f6_18.jpg；f6_24.jpg,2,2
9,f6_n_to_4601.png,"f6_n_to_4601.png/热点 1(x=0.4948, y=0.4690)；f6_n_to_4601.png/热点 2(x=0.5319, y=0.6471)",f6_17.jpg；f6_8.jpg,2,2
10,f6_n_to_4601_0.png,"f6_n_to_4601_0.png/热点 1(x=0.4940, y=0.4630)；f6_n_to_4601_0.png/热点 2(x=0.5185, y=0.6490)",f6_17.jpg；f6_8.jpg,2,2
11,f6_n_to_4602.png,"f6_n_to_4602.png/热点 1(x=0.4955, y=0.4908)；f6_n_to_4602.png/热点 2(x=0.5319, y=0.6482)",f6_17.jpg；f6_8.jpg,2,2
12,f6_n_to_4603.png,"f6_n_to_4603.png/热点 1(x=0.4949, y=0.4820)；f6_n_to_4603.png/热点 2(x=0.5348, y=0.6483)；f6_n_to_4603.png/热点 3(x=0.6727, y=0.6473)",f6_17.jpg；f6_8.jpg；f6_10.jpg,3,3
13,f6_n_to_4604.png,"f6_n_to_4604.png/热点 1(x=0.4949, y=0.4771)；f6_n_to_4604.png/热点 2(x=0.5342, y=0.6474)",f6_17.jpg；f6_8.jpg,2,2
14,f6_n_to_4605.png,"f6_n_to_4605.png/热点 1(x=0.4950, y=0.4811)；f6_n_to_4605.png/热点 2(x=0.5321, y=0.6484)",f6_17.jpg；f6_8.jpg,2,2
15,f6_n_to_4606.png,"f6_n_to_4606.png/热点 1(x=0.4950, y=0.4921)；f6_n_to_4606.png/热点 2(x=0.5350, y=0.6485)；f6_n_to_4606.png/热点 3(x=0.6687, y=0.6475)",f6_17.jpg；f6_8.jpg；f6_10.jpg,3,3
16,f6_n_to_4607.png,"f6_n_to_4607.png/热点 1(x=0.4951, y=0.4882)；f6_n_to_4607.png/热点 2(x=0.5351, y=0.6486)；f6_n_to_4607.png/热点 3(x=0.6731, y=0.6476)；f6_n_to_4607.png/热点 4(x=0.8209, y=0.6477)",f6_17.jpg；f6_8.jpg；f6_10.jpg；f6_12.jpg,4,4
17,f6_n_to_4608.png,"f6_n_to_4608.png/热点 1(x=0.4952, y=0.4823)；f6_n_to_4608.png/热点 2(x=0.5338, y=0.6477)；f6_n_to_4608.png/热点 3(x=0.6690, y=0.6478)；f6_n_to_4608.png/热点 4(x=0.8210, y=0.6478)",f6_17.jpg；f6_8.jpg；f6_10.jpg；f6_12.jpg,4,4
18,f6_n_to_4609.png,"f6_n_to_4609.png/热点 1(x=0.4941, y=0.4528)；f6_n_to_4609.png/热点 2(x=0.5235, y=0.6501)；f6_n_to_4609.png/热点 3(x=0.6693, y=0.6481)；f6_n_to_4609.png/热点 4(x=0.8207, y=0.6471)；f6_n_to_4609.png/热点 5(x=0.8201, y=0.4876)",f6_17.jpg；f6_8.jpg；f6_10.jpg；f6_12.jpg；f6_14.jpg,5,5
